measureKey,metricName,countyFips,countyName,value,unit,period,periodEnd,marginOfError90,derivation,formula,sourceIds
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06075,San Francisco,2844.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06081,San Mateo,1592.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06085,Santa Clara,9198.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06095,Solano,1347.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06097,Sonoma,1690.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06001,Alameda,17.71969841680057,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06013,Contra Costa,14.53418428725812,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06041,Marin,8.941339812565081,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06055,Napa,30.697190426638915,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06075,San Francisco,8.769450096869708,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06081,San Mateo,11.961331180405562,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06085,Santa Clara,14.333562283429929,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,06095,Solano,30.331149927219798,percent,2023-2025,2025-12-31,,derived,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
