countyFips,countyName,section,measureKey,metricName,value,unit,period,periodEnd,marginOfError90,derivation,sourceIds
06055,Napa,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,374.0,people,2025,2025-01-31,,published,['HUD_PIT']
06075,San Francisco,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,8671.0,people,2025,2025-01-31,,published,['HUD_PIT']
06081,San Mateo,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,2147.0,people,2025,2025-01-31,,published,['HUD_PIT']
06085,Santa Clara,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,10711.0,people,2025,2025-01-31,,published,['HUD_PIT']
06095,Solano,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,1664.0,people,2025,2025-01-31,,published,['HUD_PIT']
06097,Sonoma,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,1952.0,people,2025,2025-01-31,,published,['HUD_PIT']
06001,Alameda,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,58.003949175824175,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06013,Contra Costa,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,53.24433379120879,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06041,Marin,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,48.762486126526085,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06055,Napa,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,40.911764705882355,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06075,San Francisco,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,59.16134850166481,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06081,San Mateo,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,51.26179245283019,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06085,Santa Clara,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,55.46798736721217,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06095,Solano,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,58.76606978879706,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06097,Sonoma,Economic connection,access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,46.0399717014503,percent,FY2026,2026-09-30,,derived,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
06001,Alameda,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,4851.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06013,Contra Costa,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,2518.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06041,Marin,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,533.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06055,Napa,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,475.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06075,San Francisco,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,2844.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06081,San Mateo,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,1592.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06085,Santa Clara,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,9198.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06095,Solano,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,1347.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06097,Sonoma,Production,production.production_pipeline.completed_units,Completed units / certificates of occupancy,1690.0,housing units,2025,2025-12-31,,aggregated,['CA_HCD_APR_TABLE_A2']
06001,Alameda,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,17.71969841680057,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06013,Contra Costa,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,14.53418428725812,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06041,Marin,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,8.941339812565081,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06055,Napa,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,30.697190426638915,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06075,San Francisco,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,8.769450096869708,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06081,San Mateo,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,11.961331180405562,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06085,Santa Clara,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,14.333562283429929,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06095,Solano,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,30.331149927219798,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06097,Sonoma,Production,production.rhna_delivery.rhna_completion_progress_pct,Completion count as share of sixth-cycle RHNA,33.51874742480428,percent,2023-2025,2025-12-31,,derived,"['CA_HCD_RHNA', 'CA_HCD_APR_TABLE_A2']"
06001,Alameda,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,442.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06013,Contra Costa,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,440.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
06041,Marin,Production,production.permitting_timelines.matched_application_to_completion_median_days,Matched application-to-completion median,583.0,days,2018-2025 matched records,2025-12-31,,derived,"['CA_HCD_APR_TABLE_A', 'CA_HCD_APR_TABLE_A2']"
