domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06075,San Francisco,2024,2024-12-31,annual five-year estimate,19.7707963405711,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06081,San Mateo,2024,2024-12-31,annual five-year estimate,24.94679840395212,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06085,Santa Clara,2024,2024-12-31,annual five-year estimate,21.00339002084547,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06095,Solano,2024,2024-12-31,annual five-year estimate,30.942230571913726,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06097,Sonoma,2024,2024-12-31,annual five-year estimate,26.300384803957982,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06001,Alameda,2024,2024-12-31,annual five-year estimate,4.942857038098975,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06013,Contra Costa,2024,2024-12-31,annual five-year estimate,4.7474320879651275,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06041,Marin,2024,2024-12-31,annual five-year estimate,4.606889731333443,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06055,Napa,2024,2024-12-31,annual five-year estimate,2.680140597539543,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,06075,San Francisco,2024,2024-12-31,annual five-year estimate,4.851209134198556,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
