domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06081,San Mateo,2025,2025-12-31,annual,269.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06085,Santa Clara,2025,2025-12-31,annual,519.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06095,Solano,2025,2025-12-31,annual,23.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
accessory_dwelling_units,adu_entitled_units,ADU entitled units,06097,Sonoma,2025,2025-12-31,annual,32.0,housing units,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,county sum of HCD APR Table A2 reported units,"Entitlements, building permits, and completions are distinct production stages.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06001,Alameda,2025,2025-12-31,annual,97.02,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06013,Contra Costa,2025,2025-12-31,annual,94.34245035593855,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06041,Marin,2025,2025-12-31,annual,109.67078189300412,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06055,Napa,2025,2025-12-31,annual,107.95454545454545,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06075,San Francisco,2025,2025-12-31,annual,145.1761102603369,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06081,San Mateo,2025,2025-12-31,annual,39.929771758214194,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06085,Santa Clara,2025,2025-12-31,annual,149.46376340591485,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06095,Solano,2025,2025-12-31,annual,90.22103148024112,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
production_pipeline,annual_completion_to_permit_flow_pct,Annual completion-to-permit flow ratio,06097,Sonoma,2025,2025-12-31,annual,88.80714661061482,percent,CA_HCD_APR_TABLE_A2,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,completed units reported in year / building-permit units reported in same year * 100,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects.",comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06001,Alameda,2025,2025-12-31,annual,489.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06013,Contra Costa,2025,2025-12-31,annual,487.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06041,Marin,2025,2025-12-31,annual,147.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06055,Napa,2025,2025-12-31,annual,38.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06075,San Francisco,2025,2025-12-31,annual,340.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06081,San Mateo,2025,2025-12-31,annual,580.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06085,Santa Clara,2025,2025-12-31,annual,932.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06095,Solano,2025,2025-12-31,annual,82.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_projects,Application records reported approved,06097,Sonoma,2025,2025-12-31,annual,188.0,records,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,Application status is sparsely populated before 2021; a record is not necessarily a unique project.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06001,Alameda,2025,2025-12-31,annual,2210.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06013,Contra Costa,2025,2025-12-31,annual,3527.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06041,Marin,2025,2025-12-31,annual,818.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06055,Napa,2025,2025-12-31,annual,237.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06075,San Francisco,2025,2025-12-31,annual,9881.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06081,San Mateo,2025,2025-12-31,annual,2067.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
housing_applications,application_approved_units,Units approved in residential applications,06085,Santa Clara,2025,2025-12-31,annual,6166.0,housing units,CA_HCD_APR_TABLE_A,HCD-APR-TABLE-A-2025-portal-current,2026-08-10T17:11:13Z,bec330a57d4f495f88b52cfed29d66223ec2d61b4ca4ae2e3feeef22faf62af2,county sum or count of HCD APR Table A records,HCD APR application-stage administrative data aggregated to county.,comparable_within_series
